,country,subnational1,umd_tree_cover_density__threshold,umd_tree_cover_extent_2000__ha,whrc_aboveground_biomass_stock_2000__Mg,avg_whrc_aboveground_biomass_2000_Mg_ha-1,gfw_gross_emissions_co2e_all_gases__Mg_yr-1,gfw_gross_cumulative_aboveground_belowground_co2_removals__Mg_yr-1,gfw_net_flux_co2e__Mg_yr-1,gfw_gross_emissions_co2e_all_gases_2001__Mg,gfw_gross_emissions_co2e_all_gases_2002__Mg,gfw_gross_emissions_co2e_all_gases_2003__Mg,gfw_gross_emissions_co2e_all_gases_2004__Mg,gfw_gross_emissions_co2e_all_gases_2005__Mg,gfw_gross_emissions_co2e_all_gases_2006__Mg,gfw_gross_emissions_co2e_all_gases_2007__Mg,gfw_gross_emissions_co2e_all_gases_2008__Mg,gfw_gross_emissions_co2e_all_gases_2009__Mg,gfw_gross_emissions_co2e_all_gases_2010__Mg,gfw_gross_emissions_co2e_all_gases_2011__Mg,gfw_gross_emissions_co2e_all_gases_2012__Mg,gfw_gross_emissions_co2e_all_gases_2013__Mg,gfw_gross_emissions_co2e_all_gases_2014__Mg,gfw_gross_emissions_co2e_all_gases_2015__Mg,gfw_gross_emissions_co2e_all_gases_2016__Mg,gfw_gross_emissions_co2e_all_gases_2017__Mg,gfw_gross_emissions_co2e_all_gases_2018__Mg,gfw_gross_emissions_co2e_all_gases_2019__Mg,gfw_gross_emissions_co2e_all_gases_2020__Mg
13,Bolivia,Cochabamba,30,2752967,536804351,195,6405968.0,5894904.0,511064.0,6248819.0,5832244.0,5684862.0,7603297.0,5007222.0,5649916.0,5360060.0,8639411.0,6939520.0,7039347.0,7728197.0,4943297.0,5563415.0,8275332.0,3957032.0,6489155.0,9638273.0,3792424.0,8652526.0,5075011.0
14,Bolivia,Cochabamba,50,2640988,526987432,200,6368122.0,5409092.0,959030.0,6243428.0,5826458.0,5679199.0,7582273.0,4994910.0,5638550.0,5348446.0,8622483.0,6926909.0,7020057.0,7704690.0,4917299.0,5529647.0,8191448.0,3912241.0,6405965.0,9516360.0,3736416.0,8552330.0,5013332.0
15,Bolivia,Cochabamba,75,2467604,506636553,205,6227045.0,4690307.0,1536738.0,6215131.0,5795945.0,5648635.0,7498408.0,4946337.0,5582576.0,5301296.0,8555938.0,6877519.0,6954064.0,7616644.0,4838208.0,5385210.0,7923194.0,3760620.0,6083205.0,9041464.0,3545348.0,8180527.0,4790621.0
16,Bolivia,El Beni,0,21976650,2555544142,116,,,,,,,,,,,,,,,,,,,,,,,
17,Bolivia,El Beni,10,14018058,2548538032,182,,,,,,,,,,,,,,,,,,,,,,,
18,Bolivia,El Beni,15,13853949,2541995506,183,,,,,,,,,,,,,,,,,,,,,,,
19,Bolivia,El Beni,20,13659061,2533759342,186,,,,,,,,,,,,,,,,,,,,,,,
20,Bolivia,El Beni,25,13509023,2527448548,187,,,,,,,,,,,,,,,,,,,,,,,
21,Bolivia,El Beni,30,13361482,2520945729,189,25577041.0,38269684.0,-12692644.0,10999370.0,15015928.0,12943277.0,16815144.0,23341665.0,20673539.0,21510659.0,30389742.0,23695395.0,48311258.0,36224437.0,25630020.0,13772761.0,31496770.0,13575572.0,33421748.0,43763379.0,21471340.0,35598143.0,32890667.0
22,Bolivia,El Beni,50,12267433,2469988589,201,25053716.0,32698708.0,-7644993.0,10910606.0,14634661.0,12839574.0,16441065.0,22832917.0,20375167.0,21328473.0,29698646.0,23445160.0,47442877.0,35510979.0,25240852.0,13367198.0,30636165.0,13330613.0,32380518.0,42781989.0,20983415.0,34754579.0,32138874.0
23,Bolivia,El Beni,75,11043905,2377384389,215,23758404.0,26615890.0,-2857487.0,10656351.0,13575238.0,12556296.0,15655820.0,21738325.0,19677628.0,20868686.0,28549816.0,22949776.0,45560016.0,34312733.0,24451750.0,12533468.0,28682403.0,12708263.0,29943505.0,38941828.0,19798476.0,32075295.0,29932401.0
24,Bolivia,La Paz,0,13111364,1553050628,118,,,,,,,,,,,,,,,,,,,,,,,
25,Bolivia,La Paz,10,7270996,1543825494,212,,,,,,,,,,,,,,,,,,,,,,,
26,Bolivia,La Paz,15,7235671,1540996225,213,,,,,,,,,,,,,,,,,,,,,,,
27,Bolivia,La Paz,20,7199737,1538619640,214,,,,,,,,,,,,,,,,,,,,,,,
28,Bolivia,La Paz,25,7172312,1536834567,214,,,,,,,,,,,,,,,,,,,,,,,
