,country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020
24,Bolivia,Chuquisaca,Juana Azurduay de Padilla,0,305770,305770,305770,54,84,72,87,45,35,26,29,46,67,17,151,62,71,80,27,160,235,52,220,190
25,Bolivia,Chuquisaca,Juana Azurduay de Padilla,10,305770,109543,128376,54,77,71,82,45,34,25,28,44,65,16,142,60,67,75,24,145,212,48,200,183
26,Bolivia,Chuquisaca,Juana Azurduay de Padilla,15,305770,103322,123783,54,76,71,81,45,34,25,28,44,65,16,141,60,66,75,23,141,206,48,195,181
27,Bolivia,Chuquisaca,Juana Azurduay de Padilla,20,305770,98752,121042,54,76,70,81,45,34,25,28,44,65,16,140,60,66,73,23,139,202,47,191,178
28,Bolivia,Chuquisaca,Juana Azurduay de Padilla,25,305770,95209,117821,54,76,70,80,45,34,25,28,43,64,16,140,60,66,73,23,136,199,47,187,178
29,Bolivia,Chuquisaca,Juana Azurduay de Padilla,30,305770,91825,112669,54,75,70,79,44,34,25,28,43,64,16,139,60,65,72,22,132,195,47,183,175
30,Bolivia,Chuquisaca,Juana Azurduay de Padilla,50,305770,70511,73779,54,71,68,71,44,32,24,27,38,61,14,131,57,57,62,17,101,161,42,145,149
31,Bolivia,Chuquisaca,Juana Azurduay de Padilla,75,305770,41467,38131,54,63,60,62,39,29,20,23,32,55,13,111,48,36,40,8,46,81,18,73,85
32,Bolivia,Chuquisaca,Luis Calvo,0,1277044,1277044,1277044,1500,834,494,936,532,905,454,857,1597,676,760,1731,626,1022,605,446,914,2573,1197,3997,3819
33,Bolivia,Chuquisaca,Luis Calvo,10,1277044,1179919,1129768,1500,820,487,933,524,897,443,852,1518,668,752,1721,609,982,564,404,833,2468,1134,3952,3740
34,Bolivia,Chuquisaca,Luis Calvo,15,1277044,1171063,1124196,1500,817,485,932,523,896,441,852,1516,666,750,1720,607,978,561,401,825,2461,1129,3948,3731
35,Bolivia,Chuquisaca,Luis Calvo,20,1277044,1157777,1105860,1500,813,483,931,521,895,438,851,1513,664,749,1718,604,971,557,395,818,2451,1122,3942,3722
36,Bolivia,Chuquisaca,Luis Calvo,25,1277044,1148644,1081936,1500,811,482,931,519,893,436,850,1511,663,748,1717,602,966,552,391,812,2444,1118,3939,3715
