,country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020
18,Bolivia,El Beni,15,21976650,13853949,14060268,58000,22538,34676,25576,35057,48960,40951,40816,60562,43545,94264,67815,48879,26709,60375,25621,66521,83800,39844,66893,62314
19,Bolivia,El Beni,20,21976650,13659061,13932818,58000,22502,34576,25536,34966,48857,40883,40777,60448,43496,94133,67685,48805,26573,60120,25539,66098,83589,39711,66694,62133
20,Bolivia,El Beni,25,21976650,13509023,13649245,58000,22473,34500,25510,34894,48789,40838,40752,60360,43463,94025,67599,48757,26469,59924,25489,65826,83397,39605,66515,62003
21,Bolivia,El Beni,30,21976650,13361482,13335946,58000,22437,34379,25468,34797,48680,40759,40707,60217,43404,93871,67468,48688,26347,59662,25404,65501,83134,39460,66317,61827
22,Bolivia,El Beni,50,21976650,12267433,12087941,58000,21735,31741,24829,32665,46136,39343,39924,57267,42462,90769,65248,47506,25119,57244,24724,62879,80879,38294,64376,60137
23,Bolivia,El Beni,75,21976650,11043905,11010003,58000,20411,26724,23609,29296,41878,36728,38346,53310,40912,85003,61998,45404,22904,52285,23175,57289,72773,35711,58664,55574
24,Bolivia,La Paz,0,13111364,13111364,13111364,13638,5640,8288,7080,7264,8619,9298,9813,8054,11910,36820,9145,12739,8266,20740,9138,26529,21144,15190,23462,25080
25,Bolivia,La Paz,10,13111364,7270996,7390911,13638,5613,8257,7042,7240,8582,9264,9788,8015,11807,36735,9097,12529,7889,20122,8906,26071,20634,14631,22920,24274
26,Bolivia,La Paz,15,13111364,7235671,7363410,13638,5611,8255,7039,7238,8579,9262,9787,8010,11798,36726,9095,12517,7873,20097,8891,26043,20605,14606,22890,24236
27,Bolivia,La Paz,20,13111364,7199737,7338859,13638,5607,8251,7032,7235,8573,9257,9785,8003,11789,36711,9092,12504,7855,20064,8871,26009,20578,14572,22853,24183
28,Bolivia,La Paz,25,13111364,7172312,7278819,13638,5604,8247,7027,7231,8570,9253,9784,7993,11779,36695,9090,12496,7841,20042,8861,25986,20554,14550,22830,24145
29,Bolivia,La Paz,30,13111364,7152155,7209907,13638,5600,8242,7021,7228,8563,9249,9781,7985,11767,36678,9086,12486,7830,20015,8849,25959,20530,14524,22802,24105
30,Bolivia,La Paz,50,13111364,6955928,6928535,13638,5554,8177,6940,7179,8460,9180,9741,7874,11625,36367,9038,12342,7663,19697,8704,25456,20225,14236,22460,23651
31,Bolivia,La Paz,75,13111364,6614758,6646711,13638,5419,7973,6737,7022,8151,8959,9586,7597,11323,35516,8869,11983,7315,18666,8256,22708,19096,13351,21179,22298
32,Bolivia,Oruro,0,5167489,5167489,5167489,5,1,2,2,2,11,1,2,4,5,2,2,9,6,4,0,0,19,0,0,0
33,Bolivia,Oruro,10,5167489,257,90,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Bolivia,Oruro,15,5167489,255,79,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Bolivia,Oruro,20,5167489,250,72,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
